 ,Label,Area,Perim.,BX,BY,Width,Height
96,Nacl-sigma99-simon-x30-3.jpg:0096-0928,0.080,1.136,5.555,3.894,0.370,0.388
97,Nacl-sigma99-simon-x30-3.jpg:0097-0947,0.111,1.562,7.269,3.965,0.401,0.419
98,Nacl-sigma99-simon-x30-3.jpg:0098-0958,0.115,1.636,8.181,3.996,0.445,0.454
99,Nacl-sigma99-simon-x30-3.jpg:0099-0963,0.075,1.382,5.075,4.066,0.317,0.357
100,Nacl-sigma99-simon-x30-3.jpg:0100-0951,0.040,0.818,1.753,4.079,0.229,0.220
101,Nacl-sigma99-simon-x30-3.jpg:0101-0965,0.111,1.453,6.590,4.097,0.410,0.308
102,Nacl-sigma99-simon-x30-3.jpg:0102-0987,0.151,1.822,10.088,4.110,0.471,0.480
103,Nacl-sigma99-simon-x30-3.jpg:0103-0987,0.077,1.140,9.322,4.207,0.308,0.286
104,Nacl-sigma99-simon-x30-3.jpg:0104-0988,0.036,0.870,7.132,4.229,0.251,0.247
105,Nacl-sigma99-simon-x30-3.jpg:0105-1007,0.080,1.151,1.110,4.273,0.357,0.326
106,Nacl-sigma99-simon-x30-3.jpg:0106-1008,0.061,1.342,10.564,4.300,0.313,0.286
107,Nacl-sigma99-simon-x30-3.jpg:0107-1010,0.054,0.933,6.247,4.326,0.264,0.251
108,Nacl-sigma99-simon-x30-3.jpg:0108-1026,0.070,1.133,5.577,4.366,0.300,0.313
109,Nacl-sigma99-simon-x30-3.jpg:0110-1035,0.125,1.668,6.595,4.392,0.414,0.339
110,Nacl-sigma99-simon-x30-3.jpg:0111-1036,0.060,0.986,8.630,4.427,0.247,0.273
111,Nacl-sigma99-simon-x30-3.jpg:0112-1039,0.032,0.943,9.295,4.489,0.238,0.181
112,Nacl-sigma99-simon-x30-3.jpg:0113-1076,0.133,1.555,7.211,4.537,0.388,0.410
113,Nacl-sigma99-simon-x30-3.jpg:0114-1067,0.043,1.019,9.727,4.564,0.273,0.273
114,Nacl-sigma99-simon-x30-3.jpg:0115-1084,0.074,1.298,7.833,4.617,0.317,0.322
115,Nacl-sigma99-simon-x30-3.jpg:0116-1104,0.130,1.548,9.912,4.643,0.419,0.445
116,Nacl-sigma99-simon-x30-3.jpg:0117-1093,0.047,0.974,8.740,4.683,0.295,0.264
117,Nacl-sigma99-simon-x30-3.jpg:0118-1099,0.013,0.525,2.775,4.784,0.145,0.119
118,Nacl-sigma99-simon-x30-3.jpg:0119-1141,0.062,1.197,8.894,4.881,0.278,0.295
119,Nacl-sigma99-simon-x30-3.jpg:0120-1147,0.124,1.582,2.449,4.890,0.463,0.326
120,Nacl-sigma99-simon-x30-3.jpg:0121-1159,0.079,1.148,9.260,4.934,0.348,0.344
121,Nacl-sigma99-simon-x30-3.jpg:0122-1165,0.084,1.392,6.529,4.947,0.313,0.374
122,Nacl-sigma99-simon-x30-3.jpg:0123-1150,0.017,0.511,11.233,4.978,0.163,0.176
123,Nacl-sigma99-simon-x30-3.jpg:0124-1171,0.067,1.157,8.198,5.009,0.322,0.304
124,Nacl-sigma99-simon-x30-3.jpg:0125-1214,0.024,0.656,4.150,5.247,0.189,0.203
125,Nacl-sigma99-simon-x30-3.jpg:0126-1248,0.095,1.318,5.709,5.335,0.401,0.326
126,Nacl-sigma99-simon-x30-3.jpg:0127-1268,0.075,1.220,4.018,5.410,0.370,0.352
127,Nacl-sigma99-simon-x30-3.jpg:0128-1333,0.110,1.481,5.753,5.643,0.436,0.463
128,Nacl-sigma99-simon-x30-3.jpg:0129-1369,0.078,1.229,7.110,5.855,0.352,0.357
129,Nacl-sigma99-simon-x30-3.jpg:0130-1379,0.074,1.179,6.013,5.890,0.366,0.370
130,Nacl-sigma99-simon-x30-3.jpg:0131-1394,0.052,1.081,3.696,5.982,0.308,0.317
131,Nacl-sigma99-simon-x30-3.jpg:0132-1419,0.080,1.411,4.361,6.062,0.392,0.379
132,Nacl-sigma99-simon-x30-3.jpg:0133-1412,0.052,0.952,5.079,6.075,0.304,0.291
133,Nacl-sigma99-simon-x30-3.jpg:0134-1433,0.127,1.592,3.128,6.079,0.498,0.471
134,Nacl-sigma99-simon-x30-3.jpg:0135-1469,0.046,1.101,4.626,6.335,0.295,0.278
135,Nacl-sigma99-simon-x30-3.jpg:0136-1492,0.063,1.034,7.885,6.405,0.330,0.335
136,Nacl-sigma99-simon-x30-3.jpg:0137-1511,0.078,1.195,2.722,6.480,0.348,0.357
137,Nacl-sigma99-simon-x30-3.jpg:0138-1530,0.048,0.929,7.286,6.608,0.273,0.264
138,Nacl-sigma99-simon-x30-3.jpg:0139-1536,0.050,0.940,5.652,6.626,0.225,0.282
139,Nacl-sigma99-simon-x30-3.jpg:0140-1552,0.037,0.851,8.652,6.718,0.233,0.242
140,Nacl-sigma99-simon-x30-3.jpg:0141-1547,0.020,0.628,5.520,6.722,0.132,0.185
141,Nacl-sigma99-simon-x30-3.jpg:0142-1572,0.072,1.115,6.093,6.789,0.308,0.278
142,Nacl-sigma99-simon-x30-3.jpg:0143-1598,0.045,0.882,8.608,6.921,0.278,0.238
143,Nacl-sigma99-simon-x30-3.jpg:0144-1652,0.084,1.359,4.846,7.093,0.348,0.374
144,Nacl-sigma99-simon-x30-3.jpg:0145-1639,0.057,1.025,4.026,7.110,0.295,0.225
